z_round,dcm_mpc,dcm_transverse_mpc
0.6336,2308.95124616,2308.95124616
0.6337,2309.25348055,2309.25348055
0.6338,2309.55569687,2309.55569687
0.6339,2309.85789511,2309.85789511
0.634,2310.16007528,2310.16007528
0.6341,2310.46223737,2310.46223737
0.6342,2310.76438139,2310.76438139
0.6343,2311.06650734,2311.06650734
0.6344,2311.36861522,2311.36861522
0.6345,2311.67070504,2311.67070504
0.6346,2311.97277678,2311.97277678
0.6347,2312.27483046,2312.27483046
0.6348,2312.57686607,2312.57686607
0.6349,2312.87888362,2312.87888362
0.635,2313.1808831,2313.1808831
0.6351,2313.48286452,2313.48286452
0.6352,2313.78482788,2313.78482788
0.6353,2314.08677318,2314.08677318
0.6354,2314.38870042,2314.38870042
0.6355,2314.6906096,2314.6906096
0.6356,2314.99250072,2314.99250072
0.6357,2315.29437379,2315.29437379
0.6358,2315.5962288,2315.5962288
0.6359,2315.89806576,2315.89806576
0.636,2316.19988466,2316.19988466
0.6361,2316.50168551,2316.50168551
0.6362,2316.80346831,2316.80346831
0.6363,2317.10523306,2317.10523306
0.6364,2317.40697976,2317.40697976
0.6365,2317.70870841,2317.70870841
0.6366,2318.01041901,2318.01041901
0.6367,2318.31211157,2318.31211157
0.6368,2318.61378609,2318.61378609
0.6369,2318.91544256,2318.91544256
0.637,2319.21708098,2319.21708098
0.6371,2319.51870136,2319.51870136
0.6372,2319.82030371,2319.82030371
0.6373,2320.12188801,2320.12188801
0.6374,2320.42345427,2320.42345427
0.6375,2320.7250025,2320.7250025
0.6376,2321.02653269,2321.02653269
0.6377,2321.32804484,2321.32804484
0.6378,2321.62953896,2321.62953896
0.6379,2321.93101505,2321.93101505
0.638,2322.2324731,2322.2324731
0.6381,2322.53391312,2322.53391312
0.6382,2322.83533511,2322.83533511
0.6383,2323.13673907,2323.13673907
0.6384,2323.438125,2323.438125
0.6385,2323.7394929,2323.7394929
0.6386,2324.04084278,2324.04084278
0.6387,2324.34217463,2324.34217463
0.6388,2324.64348846,2324.64348846
0.6389,2324.94478426,2324.94478426
0.639,2325.24606205,2325.24606205
0.6391,2325.54732181,2325.54732181
0.6392,2325.84856355,2325.84856355
0.6393,2326.14978727,2326.14978727
0.6394,2326.45099297,2326.45099297
0.6395,2326.75218065,2326.75218065
0.6396,2327.05335032,2327.05335032
0.6397,2327.35450198,2327.35450198
0.6398,2327.65563562,2327.65563562
0.6399,2327.95675124,2327.95675124
0.64,2328.25784886,2328.25784886
0.6401,2328.55892846,2328.55892846
0.6402,2328.85999006,2328.85999006
0.6403,2329.16103364,2329.16103364
0.6404,2329.46205922,2329.46205922
0.6405,2329.76306679,2329.76306679
0.6406,2330.06405635,2330.06405635
0.6407,2330.36502791,2330.36502791
0.6408,2330.66598147,2330.66598147
0.6409,2330.96691702,2330.96691702
0.641,2331.26783457,2331.26783457
0.6411,2331.56873412,2331.56873412
0.6412,2331.86961567,2331.86961567
0.6413,2332.17047922,2332.17047922
0.6414,2332.47132478,2332.47132478
0.6415,2332.77215234,2332.77215234
0.6416,2333.0729619,2333.0729619
0.6417,2333.37375347,2333.37375347
0.6418,2333.67452704,2333.67452704
0.6419,2333.97528263,2333.97528263
0.642,2334.27602022,2334.27602022
0.6421,2334.57673982,2334.57673982
0.6422,2334.87744143,2334.87744143
0.6423,2335.17812505,2335.17812505
0.6424,2335.47879069,2335.47879069
0.6425,2335.77943834,2335.77943834
0.6426,2336.08006801,2336.08006801
0.6427,2336.38067969,2336.38067969
0.6428,2336.68127339,2336.68127339
0.6429,2336.9818491,2336.9818491
0.643,2337.28240684,2337.28240684
0.6431,2337.58294659,2337.58294659
0.6432,2337.88346837,2337.88346837
0.6433,2338.18397217,2338.18397217
0.6434,2338.48445799,2338.48445799
0.6435,2338.78492584,2338.78492584
0.6436,2339.08537571,2339.08537571
0.6437,2339.38580761,2339.38580761
0.6438,2339.68622153,2339.68622153
0.6439,2339.98661749,2339.98661749
0.644,2340.28699547,2340.28699547
0.6441,2340.58735548,2340.58735548
0.6442,2340.88769753,2340.88769753
0.6443,2341.18802161,2341.18802161
0.6444,2341.48832772,2341.48832772
0.6445,2341.78861587,2341.78861587
0.6446,2342.08888605,2342.08888605
0.6447,2342.38913827,2342.38913827
0.6448,2342.68937252,2342.68937252
0.6449,2342.98958882,2342.98958882
0.645,2343.28978715,2343.28978715
0.6451,2343.58996753,2343.58996753
0.6452,2343.89012995,2343.89012995
0.6453,2344.19027441,2344.19027441
0.6454,2344.49040091,2344.49040091
0.6455,2344.79050946,2344.79050946
0.6456,2345.09060006,2345.09060006
0.6457,2345.3906727,2345.3906727
0.6458,2345.69072739,2345.69072739
0.6459,2345.99076413,2345.99076413
0.646,2346.29078292,2346.29078292
0.6461,2346.59078376,2346.59078376
0.6462,2346.89076666,2346.89076666
0.6463,2347.19073161,2347.19073161
0.6464,2347.49067861,2347.49067861
0.6465,2347.79060767,2347.79060767
0.6466,2348.09051878,2348.09051878
0.6467,2348.39041195,2348.39041195
0.6468,2348.69028718,2348.69028718
0.6469,2348.99014447,2348.99014447
0.647,2349.28998382,2349.28998382
0.6471,2349.58980523,2349.58980523
0.6472,2349.88960871,2349.88960871
0.6473,2350.18939425,2350.18939425
0.6474,2350.48916185,2350.48916185
0.6475,2350.78891152,2350.78891152
0.6476,2351.08864326,2351.08864326
0.6477,2351.38835706,2351.38835706
0.6478,2351.68805293,2351.68805293
0.6479,2351.98773088,2351.98773088
0.648,2352.28739089,2352.28739089
0.6481,2352.58703298,2352.58703298
0.6482,2352.88665714,2352.88665714
0.6483,2353.18626337,2353.18626337
0.6484,2353.48585168,2353.48585168
0.6485,2353.78542207,2353.78542207
0.6486,2354.08497453,2354.08497453
0.6487,2354.38450907,2354.38450907
0.6488,2354.68402569,2354.68402569
0.6489,2354.98352439,2354.98352439
0.649,2355.28300517,2355.28300517
0.6491,2355.58246804,2355.58246804
0.6492,2355.88191299,2355.88191299
0.6493,2356.18134002,2356.18134002
0.6494,2356.48074914,2356.48074914
0.6495,2356.78014034,2356.78014034
0.6496,2357.07951364,2357.07951364
0.6497,2357.37886902,2357.37886902
0.6498,2357.67820649,2357.67820649
0.6499,2357.97752605,2357.97752605
0.65,2358.27682771,2358.27682771
0.6501,2358.57611146,2358.57611146
0.6502,2358.8753773,2358.8753773
0.6503,2359.17462523,2359.17462523
0.6504,2359.47385527,2359.47385527
0.6505,2359.7730674,2359.7730674
0.6506,2360.07226163,2360.07226163
0.6507,2360.37143795,2360.37143795
0.6508,2360.67059638,2360.67059638
0.6509,2360.96973691,2360.96973691
0.651,2361.26885954,2361.26885954
0.6511,2361.56796428,2361.56796428
0.6512,2361.86705112,2361.86705112
0.6513,2362.16612006,2362.16612006
0.6514,2362.46517111,2362.46517111
0.6515,2362.76420427,2362.76420427
0.6516,2363.06321954,2363.06321954
0.6517,2363.36221692,2363.36221692
0.6518,2363.6611964,2363.6611964
0.6519,2363.960158,2363.960158
0.652,2364.25910172,2364.25910172
0.6521,2364.55802754,2364.55802754
0.6522,2364.85693548,2364.85693548
0.6523,2365.15582554,2365.15582554
0.6524,2365.45469772,2365.45469772
0.6525,2365.75355201,2365.75355201
0.6526,2366.05238842,2366.05238842
0.6527,2366.35120695,2366.35120695
0.6528,2366.6500076,2366.6500076
0.6529,2366.94879038,2366.94879038
0.653,2367.24755528,2367.24755528
0.6531,2367.5463023,2367.5463023
0.6532,2367.84503145,2367.84503145
0.6533,2368.14374272,2368.14374272
0.6534,2368.44243612,2368.44243612
0.6535,2368.74111165,2368.74111165
0.6536,2369.03976931,2369.03976931
0.6537,2369.3384091,2369.3384091
0.6538,2369.63703103,2369.63703103
0.6539,2369.93563508,2369.93563508
0.654,2370.23422127,2370.23422127
0.6541,2370.53278959,2370.53278959
0.6542,2370.83134005,2370.83134005
